//Cycle : #inst 0  pc opcode reg regnum value
        22 :     #1 0 00000000 b0201073 
        23 :     #2 0 00000004 b8201073 
        29 :     #3 0 00000008 ee0000b7 r1=ee000000
        30 :     #4 0 0000000c 30509073 
        36 :     #5 0 00000010 f1402573 r10=00000000
        37 :     #6 0 00000014 0000893d r10=00000000
        38 :     #7 0 00000016 0000e91d 
        43 :     #8 0 00000018 5f5550b7 r1=5f555000
        44 :     #9 0 0000001c 55508093 r1=5f555555
        50 :    #10 0 00000020 7c009073 
        56 :    #11 0 00000024 f00505b7 r11=f0050000
        57 :    #12 0 00000028 000015f1 r11=f004fffc
        58 :    #13 0 0000002a 0005a023 
        58 :    #14 0 0000002e 00004505 r10=00000001
        66 :    #15 0 00000030 f00505b7 r11=f0050000
        67 :    #16 0 00000034 000015f1 r11=f004fffc
        73 :    #17 0 00000036 0ca5a02f 
        74 :    #18 0 0000003a 7fc1d073 
        79 :    #19 0 0000003e d05801b7 r3=d0580000
        79 :    #20 0 00000042 00010217 r4=00010042
        80 :    #21 0 00000046 fbe20213 r4=00010000
        80 :    #22 0 0000004a 0000a821 
        85 :    #23 0 00000062 00020283 
        93 :    #24 0 00000066 00518023 
        93 :    #25 0 0000006a 00000205 r4=00010001
        94 :    #26 0 0000006c fe029be3 
        99 :    #27 0 00000062 00020283 
       107 :    #28 0 00000066 00518023 
       107 :    #29 0 0000006a 00000205 r4=00010002
       108 :    #30 0 0000006c fe029be3 
       113 :    #31 0 00000062 00020283 
       121 :    #32 0 00000066 00518023 
       121 :    #33 0 0000006a 00000205 r4=00010003
       122 :    #34 0 0000006c fe029be3 
       127 :    #35 0 00000062 00020283 
       135 :    #36 0 00000066 00518023 
       135 :    #37 0 0000006a 00000205 r4=00010004
       136 :    #38 0 0000006c fe029be3 
       141 :    #39 0 00000062 00020283 
       149 :    #40 0 00000066 00518023 
       149 :    #41 0 0000006a 00000205 r4=00010005
       150 :    #42 0 0000006c fe029be3 
       155 :    #43 0 00000062 00020283 
       163 :    #44 0 00000066 00518023 
       163 :    #45 0 0000006a 00000205 r4=00010006
       164 :    #46 0 0000006c fe029be3 
       169 :    #47 0 00000062 00020283 
       177 :    #48 0 00000066 00518023 
       177 :    #49 0 0000006a 00000205 r4=00010007
       178 :    #50 0 0000006c fe029be3 
       183 :    #51 0 00000062 00020283 
       191 :    #52 0 00000066 00518023 
       191 :    #53 0 0000006a 00000205 r4=00010008
       192 :    #54 0 0000006c fe029be3 
       192 :    #55 0 00000062 00020283 
       200 :    #56 0 00000066 00518023 
       200 :    #57 0 0000006a 00000205 r4=00010009
       201 :    #58 0 0000006c fe029be3 
       201 :    #59 0 00000062 00020283 
       209 :    #60 0 00000066 00518023 
       209 :    #61 0 0000006a 00000205 r4=0001000a
       210 :    #62 0 0000006c fe029be3 
       210 :    #63 0 00000062 00020283 
       218 :    #64 0 00000066 00518023 
       218 :    #65 0 0000006a 00000205 r4=0001000b
       219 :    #66 0 0000006c fe029be3 
       219 :    #67 0 00000062 00020283 
       227 :    #68 0 00000066 00518023 
       227 :    #69 0 0000006a 00000205 r4=0001000c
       228 :    #70 0 0000006c fe029be3 
       228 :    #71 0 00000062 00020283 
       236 :    #72 0 00000066 00518023 
       236 :    #73 0 0000006a 00000205 r4=0001000d
       237 :    #74 0 0000006c fe029be3 
       237 :    #75 0 00000062 00020283 
       245 :    #76 0 00000066 00518023 
       245 :    #77 0 0000006a 00000205 r4=0001000e
       246 :    #78 0 0000006c fe029be3 
       246 :    #79 0 00000062 00020283 
       254 :    #80 0 00000066 00518023 
       254 :    #81 0 0000006a 00000205 r4=0001000f
       255 :    #82 0 0000006c fe029be3 
       255 :    #83 0 00000062 00020283 
       263 :    #84 0 00000066 00518023 
       263 :    #85 0 0000006a 00000205 r4=00010010
       264 :    #86 0 0000006c fe029be3 
       264 :    #87 0 00000062 00020283 
       272 :    #88 0 00000066 00518023 
       272 :    #89 0 0000006a 00000205 r4=00010011
       273 :    #90 0 0000006c fe029be3 
       273 :    #91 0 00000062 00020283 
       281 :    #92 0 00000066 00518023 
       281 :    #93 0 0000006a 00000205 r4=00010012
       282 :    #94 0 0000006c fe029be3 
       282 :    #95 0 00000062 00020283 
       290 :    #96 0 00000066 00518023 
       290 :    #97 0 0000006a 00000205 r4=00010013
       291 :    #98 0 0000006c fe029be3 
       291 :    #99 0 00000062 00020283 
       299 :   #100 0 00000066 00518023 
       299 :   #101 0 0000006a 00000205 r4=00010014
       300 :   #102 0 0000006c fe029be3 
       300 :   #103 0 00000062 00020283 
       308 :   #104 0 00000066 00518023 
       308 :   #105 0 0000006a 00000205 r4=00010015
       309 :   #106 0 0000006c fe029be3 
       309 :   #107 0 00000062 00020283 
       317 :   #108 0 00000066 00518023 
       317 :   #109 0 0000006a 00000205 r4=00010016
       318 :   #110 0 0000006c fe029be3 
       318 :   #111 0 00000062 00020283 
       326 :   #112 0 00000066 00518023 
       326 :   #113 0 0000006a 00000205 r4=00010017
       327 :   #114 0 0000006c fe029be3 
       327 :   #115 0 00000062 00020283 
       335 :   #116 0 00000066 00518023 
       335 :   #117 0 0000006a 00000205 r4=00010018
       336 :   #118 0 0000006c fe029be3 
       336 :   #119 0 00000062 00020283 
       344 :   #120 0 00000066 00518023 
       344 :   #121 0 0000006a 00000205 r4=00010019
       345 :   #122 0 0000006c fe029be3 
       345 :   #123 0 00000062 00020283 
       353 :   #124 0 00000066 00518023 
       353 :   #125 0 0000006a 00000205 r4=0001001a
       354 :   #126 0 0000006c fe029be3 
       354 :   #127 0 00000062 00020283 
       362 :   #128 0 00000066 00518023 
       362 :   #129 0 0000006a 00000205 r4=0001001b
       363 :   #130 0 0000006c fe029be3 
       363 :   #131 0 00000062 00020283 
       371 :   #132 0 00000066 00518023 
       371 :   #133 0 0000006a 00000205 r4=0001001c
       372 :   #134 0 0000006c fe029be3 
       372 :   #135 0 00000062 00020283 
       380 :   #136 0 00000066 00518023 
       380 :   #137 0 0000006a 00000205 r4=0001001d
       381 :   #138 0 0000006c fe029be3 
       381 :   #139 0 00000062 00020283 
       389 :   #140 0 00000066 00518023 
       389 :   #141 0 0000006a 00000205 r4=0001001e
       390 :   #142 0 0000006c fe029be3 
       390 :   #143 0 00000062 00020283 
       398 :   #144 0 00000066 00518023 
       398 :   #145 0 0000006a 00000205 r4=0001001f
       399 :   #146 0 0000006c fe029be3 
       399 :   #147 0 00000062 00020283 
       407 :   #148 0 00000066 00518023 
       407 :   #149 0 0000006a 00000205 r4=00010020
       408 :   #150 0 0000006c fe029be3 
       408 :   #151 0 00000062 00020283 
       416 :   #152 0 00000066 00518023 
       416 :   #153 0 0000006a 00000205 r4=00010021
       417 :   #154 0 0000006c fe029be3 
       417 :   #155 0 00000062 00020283 
       425 :   #156 0 00000066 00518023 
       425 :   #157 0 0000006a 00000205 r4=00010022
       426 :   #158 0 0000006c fe029be3 
       426 :   #159 0 00000062 00020283 
       434 :   #160 0 00000066 00518023 
       434 :   #161 0 0000006a 00000205 r4=00010023
       435 :   #162 0 0000006c fe029be3 
       435 :   #163 0 00000062 00020283 
       443 :   #164 0 00000066 00518023 
       443 :   #165 0 0000006a 00000205 r4=00010024
       444 :   #166 0 0000006c fe029be3 
       444 :   #167 0 00000062 00020283 
       452 :   #168 0 00000066 00518023 
       452 :   #169 0 0000006a 00000205 r4=00010025
       453 :   #170 0 0000006c fe029be3 
       453 :   #171 0 00000062 00020283 
       461 :   #172 0 00000066 00518023 
       461 :   #173 0 0000006a 00000205 r4=00010026
       462 :   #174 0 0000006c fe029be3 
       462 :   #175 0 00000062 00020283 
       470 :   #176 0 00000066 00518023 
       470 :   #177 0 0000006a 00000205 r4=00010027
       471 :   #178 0 0000006c fe029be3 
       471 :   #179 0 00000062 00020283 
       479 :   #180 0 00000066 00518023 
       479 :   #181 0 0000006a 00000205 r4=00010028
       480 :   #182 0 0000006c fe029be3 
       480 :   #183 0 00000062 00020283 
       488 :   #184 0 00000066 00518023 
       488 :   #185 0 0000006a 00000205 r4=00010029
       489 :   #186 0 0000006c fe029be3 
       489 :   #187 0 00000062 00020283 
       497 :   #188 0 00000066 00518023 
       497 :   #189 0 0000006a 00000205 r4=0001002a
       498 :   #190 0 0000006c fe029be3 
       498 :   #191 0 00000062 00020283 
       506 :   #192 0 00000066 00518023 
       506 :   #193 0 0000006a 00000205 r4=0001002b
       507 :   #194 0 0000006c fe029be3 
       507 :   #195 0 00000062 00020283 
       515 :   #196 0 00000066 00518023 
       515 :   #197 0 0000006a 00000205 r4=0001002c
       516 :   #198 0 0000006c fe029be3 
       516 :   #199 0 00000062 00020283 
       524 :   #200 0 00000066 00518023 
       524 :   #201 0 0000006a 00000205 r4=0001002d
       525 :   #202 0 0000006c fe029be3 
       525 :   #203 0 00000062 00020283 
       533 :   #204 0 00000066 00518023 
       533 :   #205 0 0000006a 00000205 r4=0001002e
       534 :   #206 0 0000006c fe029be3 
       534 :   #207 0 00000062 00020283 
       542 :   #208 0 00000066 00518023 
       542 :   #209 0 0000006a 00000205 r4=0001002f
       543 :   #210 0 0000006c fe029be3 
       543 :   #211 0 00000062 00020283 
       551 :   #212 0 00000066 00518023 
       551 :   #213 0 0000006a 00000205 r4=00010030
       552 :   #214 0 0000006c fe029be3 
       552 :   #215 0 00000062 00020283 
       560 :   #216 0 00000066 00518023 
       560 :   #217 0 0000006a 00000205 r4=00010031
       561 :   #218 0 0000006c fe029be3 
       561 :   #219 0 00000062 00020283 
       569 :   #220 0 00000066 00518023 
       569 :   #221 0 0000006a 00000205 r4=00010032
       570 :   #222 0 0000006c fe029be3 
       570 :   #223 0 00000062 00020283 
       578 :   #224 0 00000066 00518023 
       578 :   #225 0 0000006a 00000205 r4=00010033
       579 :   #226 0 0000006c fe029be3 
       579 :   #227 0 00000062 00020283 
       587 :   #228 0 00000066 00518023 
       587 :   #229 0 0000006a 00000205 r4=00010034
       588 :   #230 0 0000006c fe029be3 
       588 :   #231 0 00000062 00020283 
       596 :   #232 0 00000066 00518023 
       596 :   #233 0 0000006a 00000205 r4=00010035
       597 :   #234 0 0000006c fe029be3 
       597 :   #235 0 00000062 00020283 
       605 :   #236 0 00000066 00518023 
       605 :   #237 0 0000006a 00000205 r4=00010036
       606 :   #238 0 0000006c fe029be3 
       606 :   #239 0 00000062 00020283 
       614 :   #240 0 00000066 00518023 
       614 :   #241 0 0000006a 00000205 r4=00010037
       615 :   #242 0 0000006c fe029be3 
       615 :   #243 0 00000062 00020283 
       623 :   #244 0 00000066 00518023 
       623 :   #245 0 0000006a 00000205 r4=00010038
       624 :   #246 0 0000006c fe029be3 
       624 :   #247 0 00000062 00020283 
       632 :   #248 0 00000066 00518023 
       632 :   #249 0 0000006a 00000205 r4=00010039
       633 :   #250 0 0000006c fe029be3 
       633 :   #251 0 00000062 00020283 
       641 :   #252 0 00000066 00518023 
       641 :   #253 0 0000006a 00000205 r4=0001003a
       642 :   #254 0 0000006c fe029be3 
       642 :   #255 0 00000062 00020283 
       650 :   #256 0 00000066 00518023 
       650 :   #257 0 0000006a 00000205 r4=0001003b
       651 :   #258 0 0000006c fe029be3 
       651 :   #259 0 00000062 00020283 
       659 :   #260 0 00000066 00518023 
       659 :   #261 0 0000006a 00000205 r4=0001003c
       660 :   #262 0 0000006c fe029be3 
       660 :   #263 0 00000062 00020283 
       668 :   #264 0 00000066 00518023 
       668 :   #265 0 0000006a 00000205 r4=0001003d
       669 :   #266 0 0000006c fe029be3 
       669 :   #267 0 00000062 00020283 
       677 :   #268 0 00000066 00518023 
